clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions,double
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[69],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[69],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[69],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[69],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[90],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[90],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[90],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[90],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,builder,()Lme/zhyd/oauth/AuthRequestBuilder;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,builder,()Lme/zhyd/oauth/AuthRequestBuilder;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,builder,()Lme/zhyd/oauth/AuthRequestBuilder;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,builder,()Lme/zhyd/oauth/AuthRequestBuilder;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[21],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[5],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[5],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[5],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[5],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[8],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[32],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[42],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[13],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[13],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[13],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,concat,([Lme/zhyd/oauth/config/AuthSource;[Lme/zhyd/oauth/config/AuthSource;)[Lme/zhyd/oauth/config/AuthSource;,[46],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,extendSource,([Lme/zhyd/oauth/config/AuthSource;)Lme/zhyd/oauth/AuthRequestBuilder;,[9],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,lambda$build$0,(Lme/zhyd/oauth/config/AuthSource;)Z,[8],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,lambda$build$0,(Lme/zhyd/oauth/config/AuthSource;)Z,[8],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,lambda$build$0,(Lme/zhyd/oauth/config/AuthSource;)Z,[8],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,lambda$build$0,(Lme/zhyd/oauth/config/AuthSource;)Z,[8],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
