project,clazz,method,methodDesc,indexes,mutator,test,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[63],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[147],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[163],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.SerializeTest.testSerializationWithSerializableRecord(org.apache.empire.db.SerializeTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[163],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testSQlitedb(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[104],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
empire-db,org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[59],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[59],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[64],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[64],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBTable,getName,()Ljava/lang/String;,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
